Type,ConditionLabel,Numeral,BaseFormOfTargetNoun,FinalSentence,TargetAudioFile,PathOfAudioFile,Group,OutputAudioFile,PluralFormOfTargetNoun,CountFormOfTargetNoun,OtherPluralForm
target1,A,два,месец,В паметта на човека изплуваха два изминали,Targets_STE-001_mono.wav,Targets_STE-001_mono.wav,A,target1_A_месец_два_A,месеци,месеца,
target1,APN,два,месец,В паметта на човека изплуваха два изминали преди време,Targets_STE-002_mono.wav,Targets_STE-002_mono.wav,B,target1_APN_месец_два_B,месеци,месеца,
target1,APAdvAN,два,месец,В паметта на човека изплуваха два изминали преди много дълго време,Targets_STE-003_mono.wav,Targets_STE-003_mono.wav,C,target1_APAdvAN_месец_два_C,месеци,месеца,
target1,A,три,кладенец,Като мираж в пустинята проблясваха три пълни,Targets_STE-004_mono.wav,Targets_STE-004_mono.wav,C,target1_A_кладенец_три_C,кладенци,кладенеца,
target1,APN,три,кладенец,Като мираж в пустинята проблясваха три пълни с камъчета,Targets_STE-005_mono.wav,Targets_STE-005_mono.wav,A,target1_APN_кладенец_три_A,кладенци,кладенеца,
target1,APAdvAN,три,кладенец,Като мираж в пустинята проблясваха три пълни с много бляскави камъчета,Targets_STE-006_mono.wav,Targets_STE-006_mono.wav,B,target1_APAdvAN_кладенец_три_B,кладенци,кладенеца,
target1,A,два,град,В страната процъфтяваха два посещавани,Targets_STE-007_mono.wav,Targets_STE-007_mono.wav,B,target1_A_град_два_B,градове,града,
target1,APN,два,град,В страната процъфтяваха два посещавани от туристката,Targets_STE-008_mono.wav,Targets_STE-008_mono.wav,C,target1_APN_град_два_C,градове,града,
target1,APAdvAN,два,град,В страната процъфтяваха два посещавани от много заинтересoваната туристка,Targets_STE-009_mono.wav,Targets_STE-009_mono.wav,A,target1_APAdvAN_град_два_A,градове,града,
target1,A,три,товар,Сутринта пристигнаха три превозeни,Targets_STE-010_mono.wav,Targets_STE-010_mono.wav,A,target1_A_товар_три_A,товари,товара,
target1,APN,три,товар,Сутринта пристигнаха три превозeни от колата,Targets_STE-011_mono.wav,Targets_STE-011_mono.wav,B,target1_APN_товар_три_B,товари,товара,
target1,APAdvAN,три,товар,Сутринта пристигнаха три превозeни от много голямата кола,Targets_STE-012_mono.wav,Targets_STE-012_mono.wav,C,target1_APAdvAN_товар_три_C,товари,товара,
target1,A,четири,възел,На кораба пътниците впечатляваха четири направени,Targets_STE-013_mono.wav,Targets_STE-013_mono.wav,C,target1_A_възел_четири_C,възли,възела,възели
target1,APN,четири,възел,На кораба пътниците впечатляваха четири направени от чистачката,Targets_STE-014_mono.wav,Targets_STE-014_mono.wav,A,target1_APN_възел_четири_A,възли,възела,възели
target1,APAdvAN,четири,възел,На кораба пътниците впечатляваха четири направени от много сръчната чистачка,Targets_STE-015_mono.wav,Targets_STE-015_mono.wav,B,target1_APAdvAN_възел_четири_B,възли,възела,възели
target1,A,пет,ъгъл,На дъската учениците занимаваха пет начертани,Targets_STE-016_mono.wav,Targets_STE-016_mono.wav,B,target1_A_ъгъл_пет_B,ъгли,ъгъла,
target1,APN,пет,ъгъл,На дъската учениците занимаваха пет начертани от ученичката,Targets_STE-017_mono.wav,Targets_STE-017_mono.wav,C,target1_APN_ъгъл_пет_C,ъгли,ъгъла,
target1,APAdvAN,пет,ъгъл,На дъската учениците занимаваха пет начертани от много ученолюбивата ученичка,Targets_STE-018_mono.wav,Targets_STE-018_mono.wav,A,target1_APAdvAN_ъгъл_пет_A,ъгли,ъгъла,
target1,A,шест,кон,От ранчото избягаха шест опитомени,Targets_STE-019_mono.wav,Targets_STE-019_mono.wav,A,target1_A_кон_шест_A,коне,коня,
target1,APN,шест,кон,От ранчото избягаха шест опитомени от бабата,Targets_STE-020_mono.wav,Targets_STE-020_mono.wav,B,target1_APN_кон_шест_B,коне,коня,
target1,APAdvAN,шест,кон,От ранчото избягаха шест опитомени от много старата баба,Targets_STE-021_mono.wav,Targets_STE-021_mono.wav,C,target1_APAdvAN_кон_шест_C,коне,коня,
target1,A,седем,случай,На срещата публиката вълнуваха седем обсъждани,Targets_STE-022_mono.wav,Targets_STE-022_mono.wav,C,target1_A_случай_седем_C,случаи,случая,
target1,APN,седем,случай,На срещата публиката вълнуваха седем обсъждани от професорката,Targets_STE-023_mono.wav,Targets_STE-023_mono.wav,A,target1_APN_случай_седем_A,случаи,случая,
target1,APAdvAN,седем,случай,На срещата публиката вълнуваха седем обсъждани от много запознатата професорка,Targets_STE-024_mono.wav,Targets_STE-024_mono.wav,B,target1_APAdvAN_случай_седем_B,случаи,случая,
target1,A,два,венец,Главата на войника красяха два изплетени,Targets_STE-025_mono.wav,Targets_STE-025_mono.wav,B,target1_A_венец_два_B,венци,венеца,
target1,APN,два,венец,Главата на войника красяха два изплетени от вдовицата,Targets_STE-026_mono.wav,Targets_STE-026_mono.wav,C,target1_APN_венец_два_C,венци,венеца,
